Title,Author,Link,Bookshelf,Code
A Treatise of Human Nature,David Hume,http://www.gutenberg.org/ebooks/4705,Philosophy,4705
Apology,Plato,http://www.gutenberg.org/ebooks/1656,Philosophy,1656
Beyond Good and Evil,Friedrich Wilhelm Nietzsche,http://www.gutenberg.org/ebooks/4363,Philosophy,4363
Democracy and Education: An Introduction to the Philosophy of Education,Dewey,http://www.gutenberg.org/ebooks/852,Philosophy,852
Ethics,Benedictus de Spinoza,http://www.gutenberg.org/ebooks/3800,Philosophy,3800
On Liberty,John Stuart Mill,http://www.gutenberg.org/ebooks/34901,Philosophy,34901
Politics: A Treatise on Government,Aristotle,http://www.gutenberg.org/ebooks/6762,Philosophy,6762
Second Treatise of Government,John Locke,http://www.gutenberg.org/ebooks/7370,Philosophy,7370
The Analysis of Mind,Bertrand Russell,http://www.gutenberg.org/ebooks/2529,Philosophy,2529
The Antichrist,Friedrich Wilhelm Nietzsche,http://www.gutenberg.org/ebooks/19322,Philosophy,19322
The Communist Manifesto,Friedrich Engels and Karl Marx,http://www.gutenberg.org/ebooks/61,Philosophy,61
The Critique of Pure Reason,Immanuel Kant,http://www.gutenberg.org/ebooks/4280,Philosophy,4280
The Poetics of Aristotle,Aristotle,http://www.gutenberg.org/ebooks/1974,Philosophy,1974
The Problems of Philosophy,Bertrand Russell,http://www.gutenberg.org/ebooks/5827,Philosophy,5827
The Republic,Plato,http://www.gutenberg.org/ebooks/1497,Philosophy,1497
Thus Spake Zarathustra: A Book for All and None,Friedrich Wilhelm Nietzsche,http://www.gutenberg.org/ebooks/1998,Philosophy,1998
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,http://www.gutenberg.org/ebooks/5740,Philosophy,5740
Utilitarianism,John Stuart Mill,http://www.gutenberg.org/ebooks/11224,Philosophy,11224
"Criminal Psychology: A Manual for Judges, Practitioners, and Students",Hans Gross,http://www.gutenberg.org/ebooks/1320,Psychology,1320
Dream Psychology: Psychoanalysis for Beginners,Sigmund Freud,http://www.gutenberg.org/ebooks/15489,Psychology,15489
Dreams,Henri Bergson,http://www.gutenberg.org/ebooks/20842,Psychology,20842
Instincts of the Herd in Peace and War,W. Trotter,http://www.gutenberg.org/ebooks/53453,Psychology,53453
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,Mackay,http://www.gutenberg.org/ebooks/24518,Psychology,24518
Nerves and Common Sense,Annie Payson Call,http://www.gutenberg.org/ebooks/4339,Psychology,4339
Psychology and Achievement,Warren Hilton,http://www.gutenberg.org/ebooks/13791,Psychology,13791
"Studies in the Psychology of Sex, Volume 5",Havelock Ellis,http://www.gutenberg.org/ebooks/13614,Psychology,13614
Talks To Teachers On Psychology; And To Students On Some Of Life's Ideals,James,http://www.gutenberg.org/ebooks/16287,Psychology,16287
"Ten Thousand Dreams Interpreted; Or, What's in a Dream",Gustavus Hindman Miller,http://www.gutenberg.org/ebooks/926,Psychology,926
The Mind and the Brain,Alfred Binet,http://www.gutenberg.org/ebooks/21077,Psychology,21077
The Science of Human Nature,William Henry Pyle,http://www.gutenberg.org/ebooks/18477,Psychology,18477
The Trained Memory,Warren Hilton,http://www.gutenberg.org/ebooks/17829,Psychology,17829
The Untroubled Mind,Herbert J. Hall,http://www.gutenberg.org/ebooks/22108,Psychology,22108
Three Contributions to the Theory of Sex,Sigmund Freud,http://www.gutenberg.org/ebooks/14969,Psychology,14969
Unconscious Memory,Samuel Butler,http://www.gutenberg.org/ebooks/6605,Psychology,6605
Psychology and Achievement,Warren Hilton,http://www.gutenberg.org/ebooks/13791,Psychology,13791
The Psychology of Revolution,Gustave Le Bon,http://www.gutenberg.org/ebooks/448,Psychology,448
An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,http://www.gutenberg.org/ebooks/3300,Sociology,3300
Applied Eugenics,Roswell H. Johnson and Paul Popenoe,http://www.gutenberg.org/ebooks/19560,Sociology,19560
"Don't Marry; or, Advice on How, When and Who to Marry",James W. Donovan,http://www.gutenberg.org/ebooks/53368,Sociology,53368
How to be Happy Though Married: Being a Handbook to Marriage,E. J. Hardy,http://www.gutenberg.org/ebooks/35534,Sociology,35534
Modern marriage and how to bear it,Maud Churton Braby,http://www.gutenberg.org/ebooks/31529,Sociology,31529
Plain Talks on Avoided Subjects,Henry N. Guernsey,http://www.gutenberg.org/ebooks/31671,Sociology,31671
Psychopathia Sexualis,R. von Krafft-Ebing,http://www.gutenberg.org/ebooks/24766,Sociology,24766
Searchlights on Health: Light on Dark Corners,B. G. Jefferis and J. L. Nichols,http://www.gutenberg.org/ebooks/23609,Sociology,23609
Sex: Avoided subjects Discussed in Plain English,Henry Stanton,http://www.gutenberg.org/ebooks/23680,Sociology,23680
"Sketches of the Fair Sex, in All Parts of the World.",Anonymous,http://www.gutenberg.org/ebooks/26117,Sociology,26117
"The Biology, Physiology and Sociology of Reproduction",Winfield Scott Hall,http://www.gutenberg.org/ebooks/24708,Sociology,24708
"The Physical Life of Woman: Advice to the Maiden, Wife and Mother",Napheys,http://www.gutenberg.org/ebooks/24001,Sociology,24001
The Sex Side of Life: An Explanation for Young People,Mary Ware Dennett,http://www.gutenberg.org/ebooks/31732,Sociology,31732
The Sexual Life of the Child,Albert Moll,http://www.gutenberg.org/ebooks/28402,Sociology,28402
The Young Man's Guide,William A. Alcott,http://www.gutenberg.org/ebooks/23860,Sociology,23860
What a Young Woman Ought to Know,Mary Wood-Allen,http://www.gutenberg.org/ebooks/28458,Sociology,28458
Woman,William J. Robinson,http://www.gutenberg.org/ebooks/21840,Sociology,21840
Youth and Sex: Dangers and Safeguards for Girls and Boys,Scharlieb and Sibly,http://www.gutenberg.org/ebooks/13722,Sociology,13722
